"Robert L Axtell JM et al. ","2002","Population growth and collapse in a multiagent model of the Kayenta Anasazi in Long House Valley","Proceedings of the National Academy of Sciences of the United States of America","99","Suppl 3","7275-7279","TRUE","","","",""
"Flower J","2002","Transformations of 21st century health care, Part 1. Beyond the digital divide","Health Forum journal","46","1","8-13","TRUE","","","",""
"Lev E, Dolev E","2002","Use of natural substances in the treatment of renal stones and other urinary disorders in the medieval Levant","American journal of nephrology","22","3","172-179","TRUE","","","",""
"Peter Williams AM, Boustead R","2003","A case study of sodium reduction in breakfast cereals and the impact of the Pick the Tick food information program in Australia","Health Promotion International","18","1","51-56","TRUE","","","",""
"Giorgio Coen SC et al. ","2003","Atherosclerotic ischemic renal disease. Diagnosis and prevalence in an hypertensive and/or uremic elderly population","BMC Nephrology","4","","","TRUE","","","",""
"Dipal.i G Sashital. AM et al. ","2003","Structural basis for a lethal mutation in U6 RNA","Biochemistry","42","6","1470-1477","TRUE","","","",""
"Doudna JA, Batey RT","2003","Structural insights into the signal recognition particle","Annual review of biochemistry","73","","539-557","TRUE","","","",""
"Vicente KJ","2003","What does it take? A case study of radical change toward patient safety","Joint Commission journal on quality and safety","29","11","598-609","TRUE","","","",""
"Joon Soo Hahm SS et al.","2004","Telemedicine with digital video transport system","The Korean journal of gastroenterology","43","6","370-375","TRUE","","","",""
"Rama Garimella JB, Anderson HC","2004","A simple and non-radioactive technique to study the effect of monophosphoesters on matrix vesicle-mediated calcification","Biological Procedures Online","6","","263-267","TRUE","","","",""
"Chen Peng SW et al. ","2004","Automated evaluation of chemical shift perturbation spectra: New approaches to quantitative analysis of receptor-ligand interaction NMR spectra","Journal of Biomolecular Nmr","29","","491–504","TRUE","","","",""
"Don Gilbert YU et al. ","2004","Bio-Mirror project for public bio-data distribution","Bioinformatics","20","17","3238–3240","TRUE","","","",""
"Arrizabalaga J","2004","History of disease and the longue durée","History and Philosophy of the Life Sciences","27","1","41-56","TRUE","","","",""
"Tomoko Kuwabara JH et al. ","2004","The NRSE smRNA specifies the fate of adult hippocampal neural stem cells","Nucleic acids symposium series","49","1","87–88","TRUE","","","",""
"Kaplan MJ","2005","FK-778 Astellas","Current opinion in investigational drugs","6","5","526-536","TRUE","","","",""
"Leonie Neville MT, Bauman A","2005","Food advertising on Australian television: the extent of children's exposure","Health Promotion International","20","2","105-112","TRUE","","","",""
"Jianglin Ma SI, Phillips C","2005","Non-snRNP U1A levels decrease during mammalian B-cell differentiation and release the IgM secretory poly(A) site from repression","RNA","12","","122-132","TRUE","","","",""
"Marc Monot NH et al. ","2005","On the origin of leprosy","Science","308","5724","1040-1042","TRUE","","","",""
"Couzos S","2005","PBS medications--improving access for Aboriginal and Torres Strait Islander peoples","Australian family physician","34","10","841-844","TRUE","","","",""
"Craft RL","2005","Toward technical interoperability in telemedicine","Telemedicine journal and e-health","11","3","","TRUE","","","",""
"Berlin L","2005","Using an automated coding and review process to communicate critical radiologic findings: one way to skin a cat","American journal of roentgenology","185","4","","TRUE","","","",""
"Padaval.a Ajay Babu TV et al. ","2006","DoD2006: molecular biology database update","Bioinformation","1","6","228-230","TRUE","","","",""
"J Zhou MC et al. ","2006","Morphology and adhesion of human fibroblast cells cultured on bioactive polymer grafted ligament prosthesis","IEEE","","","","TRUE","","","",""
"Suresh K Joseph SK, Sukumvanich S","2006","Reactivity of free thiol groups in type-I inositol trisphosphate receptors","Biochemical Journal","393","2","575–582","TRUE","","","",""
"Jan Peter Siebrasse DG, Kubitscheck U","2006","Single-molecule tracking in eukaryotic cell nuclei","Analytical and Bioanalytical Chemistry","387","","41-44","TRUE","","","",""
"Soma Banerjee SS, Myung K","2006","Suppression of gross chromosomal rearrangements by yKu70-yKu80 heterodimer through DNA damage checkpoints","Proceedings of the National Academy of Sciences of the United States of America","103","6","1816-1821","TRUE","","","",""
"Farina C","2006","The Casimir effect: some aspects","Brazilian Journal of Physics","36","","1137-1149","TRUE","","","",""
"Park S, Pande VS","2006","Validation of Markov state models using Shannon's entropy","The Journal of chemical physics","124","","","TRUE","","","",""
"Tadao Fukushima MK et al. ","2007","Drug binding and releasing characteristics of DNA/lipid/PLGA film","Dental materials journal","26","6","854-860","TRUE","","","",""
"Barnes RL, Glantz SA","2007","Endotoxins in tobacco smoke: shifting tobacco industry positions","Nicotine & Tobacco Research","9","10","995–1004","TRUE","","","",""
"Wilkins AS","2007","For the biotechnology industry, the penny drops (at last): genes are not autonomous agents but function within networks!","Bioessays","","","","TRUE","","","",""
"Vadim Y Bichutskiy RC et al. ","2007","Heterogeneous Biomedical Database Integration Using a Hybrid Strategy: A p53 Cantcer Research Database","Cancer Informatics","2","","277-287","TRUE","","","",""
"Robertson I","2007","Image dissemination and archiving","Clinical techniques in small animal practice","22","3","138-144","TRUE","","","",""
"Butz RF, Morelli G","2007","Innovative strategies for early clinical R&D","IDrugs : the investigational drugs journal","11","1","36-41","TRUE","","","",""
"P F Schothorst HS, van Engeland H","2007","Psychiatric disorders and MND in non-handicapped preterm children","European Child & Adolescent Psychiatry","16","7","439-448","TRUE","","","",""
"Haresh Yal.amanchili AP et al. ","2007","The path of nasal reconstruction: from ancient India to the present","Facial plastic surgery : FPS","24","1","3-10","TRUE","","","",""
"Tilakavati Karupaiah KC et al. ","2007","What's on Malaysian television? - A survey on food advertising targeting children","Asia Pacific journal of clinical nutrition","17","3","483-491","TRUE","","","",""
"Nicholas Freudenberg SG, Fahs M","2008","Changing corporate practices to reduce cancer disparities","Journal of health care for the poor and underserved","19","1","26-40","TRUE","","","",""
"Won-Seok Kim HJ et al. ","2008","Identification of several gy4 nulls from the USDA soybean germplasm collection provides new genetic resources for the development of high-quality tofu cultivars","Journal of Agricultural and Food Chemistry","56","23","11320–11326","TRUE","","","",""
"Mary Beth Privitera MD, Johnson J","2008","Interconnections of basic science research and product development in medical device design","IEEE","","","","TRUE","","","",""
"Naphtali Offen EA, Malone RE","2008","Is tobacco a gay issue? Interviews with leaders of the lesbian, gay, bisexual and transgender community","Culture, Health & Sexuality","10","2","143-157","TRUE","","","",""
"Brett L Foster IB, Liley DT","2008","Population based models of cortical drug response: insights from anaesthesia","Cognitive Neurodynamics","2","4","283-296","TRUE","","","",""
"Bekkering GE, Kleijnen J","2008","Procedures and methods of benefit assessments for medicines in Germany","The European Journal of Health Economics","9","","5-29","TRUE","","","",""
"Kotaprolu Naga Sudha MS et al. ","2008","Virtual screening for novel COX-2 inhibitors using the ZINC database","Bioinformation","2","8","325-329","TRUE","","","",""
"Rodrigues DG","2009","Brazil: An emerging partner in drug R&D","IDrugs : the investigational drugs journal","12","8","497-502","TRUE","","","",""
"Peter Hinow VR, Tuszyński JA","2009","Continuous model for microtubule dynamics with catastrophe, rescue, and nucleation processes","Physical Review E","80","","","TRUE","","","",""
"Laura M Kinlin CV et al. ","2009","Environmental Exposures and Invasive Meningococcal Disease: An Evaluation of Effects on Varying Time Scales","American Journal of Epidemiology","169","5","588-595","TRUE","","","",""
"Rattner BA","2009","History of wildlife toxicology","Ecotoxicology ","18","","773–783","TRUE","","","",""
"Mandy M A Conijn JH et al. ","2009","Perforating arteries originating from the posterior communicating artery: a 7.0-Tesla MRI study","European Radiology","19","12","2986-2992","TRUE","","","",""
"Jinyan Zhang XL et al. ","2009","Radiology information system: a workflow-based approach","International Journal of Computer Assisted Radiology and Surgery","4","","509–516","TRUE","","","",""
"N L Sharma NC, Neal DE","2009","Robotic-assisted laparoscopic prostatectomy","British Journal of Cancer","101","9","1491-1496","TRUE","","","",""
"A Sroka-Bartnicka SO et al. ","2009","Solid state NMR study and density functional theory (DFT) calculations of structure and dynamics of poly(p-xylylenes)","The Journal of Physical Chemistry. B","113","16","5464–5472","TRUE","","","",""
"Sebastien Rauch BP et al. ","2010","Anthropogenic forcings on the surficial osmium cycle","Environmental Science & Technology","44","3","881-887","TRUE","","","",""
"Dominique Verreault VK et al. ","2010","Sample cells for probing solid/liquid interfaces with broadband sum-frequency-generation spectroscopy","The Review of scientific instruments","81","6","","TRUE","","","",""
"Lana Hebden LK et al. ","2011","Food advertising on children's popular subscription television channels in Australia","Australian and New Zealand Journal of Public Health","35","2","127-130","TRUE","","","",""
"M J Dingel AD et al. ","2011","Integrating genetic studies of nicotine addiction into public health practice: stakeholder views on challenges, barriers and opportunities","Public Health Genomics","15","1","46-55","TRUE","","","",""
"Masotti A","2011","Multifunctional nanoparticles, nanocages and degradable polymers as a potential novel generation of non-invasive molecular and cellular imaging systems","Recent patents on nanotechnology","5","3","163-177","TRUE","","","",""
"Svetlana Deryusheva MC et al. ","2011","Post-transcriptional modification of spliceosomal RNAs is normal in SMN-deficient cells","RNA","29","12","31-36 ","TRUE","","","",""
"Luís A Bastião Silva CC, Oliveira JL","2013","DICOM relay over the cloud","International Journal of Computer Assisted Radiology and Surgery","8","","323–333","TRUE","","","",""
"Ferguson T","2015","Consumer health informatics","The Healthcare Forum journal","38","1","28-33","TRUE","","","",""
"Printezis A, Gopalakrishnan M","2015","Current pulse: can a production system reduce medical errors in health care?","Quality management in health care","16","3","226-238","TRUE","","","",""
"John A Robertson BB et al. ","2015","Pharmacogenetic challenges for the health care system","Health affairs ","21","4","155-167","TRUE","","","",""
"Carlsten C","2015","The Bhopal disaster: prevention should have priority now","International Journal of Occupational and Environmental health","9","1","93-94","TRUE","","","",""
"Sarah E Frew HE, Singer PA","2015","The Indian and Chinese health biotechnology industries: potential champions of global health?","Health affairs ","27","4","1029-1041","TRUE","","","",""
"LaDou J, Rohm T","2015","The international electronics industry","International Journal of Occupational and Environmental health","4","1","1-18","TRUE","","","",""
"Nithima Sumpradit SW, McCormick L","2016","Consumers' attitudes and behavior toward prescription drug advertising","American journal of health behavior","26","1","68-75","TRUE","","","",""
"MM Thornton PE et al. ","2016","Daymet: Monthly Climate Summaries on a 1-km Grid for North America, Version 3","ORNL Distributed Active Archive Center","","","","TRUE","","","",""
"Hammer M, Stanton S","2016","How process enterprises really work","Harvard business review","77","6","108-118","TRUE","","","",""
"Weaver LJ, Narayan KM","2016","Reconsidering the history of type 2 diabetes in India: emerging or re-emerging disease?","The National medical journal of India","21","6","288-291","TRUE","","","",""
"Poston RD, Buescher CR","2016","The essential role of the clinical research nurse (CRN)","Urologic nursing","30","1","55-63","TRUE","","","",""
"Ohad M","2021","8 Theory - Curvature Absorptions","Zenodo","","","","TRUE","","","",""
"Ohad M","2021","8 Theory - The Three Critical Theorems","Zenodo","","","","TRUE","","","",""
"Ohad M","2021","8 Theory - Weak Interaction is Incredibly Symmetrical","Zenodo","","","","TRUE","","","",""
"Ohad M","2021","8 Theory On Heisenberg Principle","Zenodo","","","","TRUE","","","",""
"Ohad M","2021","8T - Perfect Hadron Symmetry - Symmetry Break","Zenodo","","","","TRUE","","","",""
"Ohad M","2021","8T, QFT and GR - The Ace Equations","Zenodo","","","","TRUE","","","",""
"Ohad M","2021","A Final Theory Which Could Be Even Wrong - 8T","Zenodo","","","","TRUE","","","",""
"Ohad M","2021","Refuting Quark Waves - 8T","Zenodo","","","","TRUE","","","",""
"hu J","2021","The 2n geometric Space and Periodic Table of Earth’s Atmosphere","Figshare","","","","TRUE","","","",""
"Ohad M","2021","Variational Distributions & Dark matter","Zenodo","","","","TRUE","","","",""
"Kathrin Grosse LB et al. ","2022","Machine Learning Security in Industry: A Quantitative Survey","arXiv","","","","TRUE","","","",""
"Vincent C C Cheng SK et al. ","2007","Severe Acute Respiratory Syndrome Coronavirus as an Agent of Emerging and Reemerging Infection","	Clinical Microbiology Reviews","20","4","660-694","TRUE","","","",""
"Jaakson K, Ashyrov G	","2022","Happy to Be a Boss? Cultural Moderators of Relationships Between Supervisory Responsibility and Job Satisfaction	","	Front Psychol	","13","","","TRUE","","","",""
"Arun S Thakare SP et al. ","2019","Phase transformations and mechanical properties of thermomechanically processed 34CrMo4 steel","	Heliyon","5","5","","TRUE","","","",""
"Slonosky V, Mayer-Jouanjean I","2020","Climate Observing During Canada’s Empires, 1742–1871: People, Places and Motivations","	London Journal of Canadian Studies","35","1","1-28","TRUE","","","",""
"Arnal.do D'Amico MS et al. ","2018","	Resonant Directly Coupled Inductors–Capacitors Ladder Network Shows a New, Interesting Property Useful for Application in the Sensor Field, Down to Micrometric Dimensions	","	Micromachines (Basel)","		7","","290-290","TRUE","","","",""
"Lee KG, Lam KP","	2015","BTK: sensing pathogenic nucleic acids","	Oncotarget","6","	24","19948-19949","TRUE","","","",""
"Akiko Ishii-Watabe AH et al. ","2015","Approaches to Quality Risk Management When Using Single-Use Systems in the Manufacture of Biologics","AAPS PharmSciTech","16","5","993-1001","TRUE","","","",""
"Robert E Mrak TG, Ducatman BS","2018","Benchmarking Subspecialty Practice in Academic Anatomic Pathology","Academic Pathology","5","","","TRUE","","","",""
"Hu S, Panarelli NC","2018","Educational Case: Immune-Related Disorders of the Bowel","Academic Pathology","5","","","TRUE","","","",""
"Kunak RL, Rojiani A, Savage NM","2019","Educational Case: Acute Promyelocytic Leukemia With PML-RARA","Academic Pathology","6","","","TRUE","","","",""
"Krasowski MD","2019","Educational Case: Regulatory Issues With Laboratory Testing","Academic Pathology","6","","","TRUE","","","",""
"Dykes KC, Peedin AR","2020","Educational Case: A Case of Transfusion-Transmitted Babesiosis: Diagnostic Perspectives Across the Clinical Laboratory","Academic Pathology","7","","","TRUE","","","",""
"Jennings J, Clark JL","2021","Educational Case: HER-2 Positive Breast Cancer","Academic Pathology","8","","","TRUE","","","",""
"Sophia Bunde SU et al. ","2021","Educational Case: High-Grade Serous Carcinoma of the Ovary","Academic Pathology","8","","","TRUE","","","",""
"Harrison Dai SC, Kowalewska J","2022","Educational Case: Renal allograft rejection","Academic Pathology","9","1","","TRUE","","","",""
"Ana P Val.e BL et al. ","2020","Challenges in the veterinary microbiology diagnostic laboratory: a novel Acinetobacter species as presumptive cause for feline unilateral conjunctivitis","Access Microbiology","2","6","","TRUE","","","",""
"Stevens N, Salmon P","2015","Reprint of “Safe places for pedestrians: Using cognitive work analysis to consider the relationships between the engineering and urban design of footpaths”","Accident Analysis & Prevention","74","","339-349","TRUE","","","",""
"Johan Nordstrand ET et al. ","2021","Ladder Mechanisms of Ion Transport in Prussian Blue Analogues","ACS Applied Materials & Interfaces","14","1","1102-1113","TRUE","","","",""
"Daniel Sánchez-dealcázar AR, Beloqui A","2022","Metal–Organic Enzyme Nanogels as Nanointegrated Self-Reporting Chemobiosensors","ACS Applied Materials & Interfaces","14","24","27589-27598","TRUE","","","",""
"Christian Acal. DM et al. ","2023","Holistic Variability Analysis in Resistive Switching Memories Using a Two-Dimensional Variability Coefficient","ACS Applied Materials & Interfaces","15","15","19102-19110","TRUE","","","",""
"Solazzo M, Monaghan MG","2023","A Workflow to Produce a Low-Cost In Vitro Platform for the Electric-Field Pacing of Cellularised 3D Porous Scaffolds","ACS Biomaterials Science & Engineering","9","8","4573-4582","TRUE","","","",""
"Elisa Lenzi MH et al. ","2022","Combination of Live Cell Surface-Enhanced Raman Scattering Imaging with Chemometrics to Study Intracellular Nanoparticle Dynamics","ACS Sensors","7","6","1747-1756","TRUE","","","",""
"Hossein al.imohammadi SZ et al. ","2021","Potentially inappropriate brain CT-scan requesting in the emergency department: A retrospective study in patients with neurologic complaints","Acta Bio Medica : Atenei Parmensis","92","5","","TRUE","","","",""
"Laura Milena Ramírez-Urrea EA et al. ","2014","PATRONES DE LA COMPOSICIÓN DE AVES ACUÁTICAS EN EL RÍO LA VIEJA, VALLE GEOGRÁFICO DEL RÍO CAUCA, COLOMBIA","Acta biol. Colomb.","19","2","155-166","TRUE","","","",""
"Enrique ARBELÁEZ-CORTÉS DV, Rondón-González F","2020","ON BIRDS OF SANTANDER-BIO EXPEDITIONS, QUANTIFYING THE COST OF COLLECTING VOUCHER SPECIMENS IN COLOMBIA","Acta biol. Colomb.","25","1","37-60","TRUE","","","",""
"Regis Dario SA et al. ","2019","Two-stage management of a spontaneous fracture of the greater trochanter through osteolytic lesions induced by polyethylene wear of a total hip arthroplasty. A case report","Acta bio-medica : Atenei Parmensis","90","Suppl 1","177-182","TRUE","","","",""
"Saša Sršen EM et al. ","2020","HOW TO TREAT PATIENTS AFTER SERIOUS ADVERSE EFFECTS CAUSED BY TNF INHIBITORS?","Acta Clinica Croatica","59","1","161-165","TRUE","","","",""
"Duyen N K Pham MR et al. ","2018","The crystal structures of iron and cobalt pyridine (py)–sulfates, [Fe(SO4)(py)4]n and [Co3(SO4)3(py)11]n","Acta Crystallogr E Crystallogr Commun","74","Pt 6","857-861","TRUE","","","",""
"Andrea Thorn JP et al. ","2017","AUSPEX: a graphical tool for X-ray diffraction data analysis","Acta Crystallographica. Section D, Structural Biology","73","Pt 9","729-737","TRUE","","","",""
"Emiliano ANTIGA RM et al. ","2021","Granular Deposits of IgA in the Skin of Coeliac Patients Without Dermatitis Herpetiformis: A Prospective Multicentric Analysis","Acta Dermato-Venereologica","101","2","","TRUE","","","",""
"Mahsa TAYEFI MB et al. ","2022","Chronic Urticaria: A Swedish Registry-based Cohort Study on Population, Comorbidities and Treatment Characteristics","Acta Dermato-Venereologica","102","","","TRUE","","","",""
"Ospina al","2014","ESTUDIOS CULTURALES/CRÍTICA LITERARIA: ¿UNA CONTRADICCIÓN INSUPERABLE?","Acta lit.","","49","159-179","TRUE","","","",""
"OS Petrakova ES et al. ","2012","The Use of Cellular Technologies in Treatment of Liver Pathologies","Acta Naturae","4","3","16-30","TRUE","","","",""
"Bing Cui XC et al. ","2017","Regulation of immune-related diseases by multiple factors of chromatin, exosomes, microparticles, vaccines, oxidative stress, dormancy, protein quality control, inflammation and microenvironment: a meeting report of 2017 International Workshop of the Chinese Academy of Medical Sciences (CAMS) Initiative for Innovative Medicine on Tumor Immunology","Acta Pharmaceutica Sinica. B","7","4","532-540","TRUE","","","",""
"Bi-bo Yan MZ et al. ","2009","ScafBank: a public comprehensive Scaffold database to support molecular hopping","Acta Pharmacol. Sin","30","2","251-258","TRUE","","","",""
"Fernández-Savater A, Huerta AV","2020","Silencio, pasividad y disimulo: maneras de escapar cuando no hay salida y una Postdata","Acta poét","41","2","29-46","TRUE","","","",""
"Kohei Hamamoto EC et al. ","2017","Ultra-short echo time magnetic resonance imaging for detection of pulmonary arteriovenous malformation recanalization after coil embolization: a case report and a phantom study","Acta Radiologica Open","6","9","","TRUE","","","",""
"Cristiana Pal.mela Pereira CB et al. ","2022","Quantitative and Qualitative Approaches for Dental Age Assessment in Sub Adult Portuguese Population: European Regression Formula and Demirjian Stages","Acta Stomatologica Croatica","56","3","288-298","TRUE","","","",""
"Kristiane Barington KD, Jensen HE","2018","A porcine model for pathomorphological age assessment of surgically excised skin wounds","Acta Vet. Scand","60","","","TRUE","","","",""
"Ikuo Ota YK et al. ","2019","Outcomes after out‐of‐hospital cardiac arrests by anaphylaxis: A nationwide population‐based observational study","Acute Medicine & Surgery","7","1","","TRUE","","","",""
"Srinivasa Vittal. Katikireddi MJ et al. ","2017","Assessing causal relationships using genetic proxies for exposures: an introduction to Mendelian randomization","Addiction","113","4","764-774","TRUE","","","",""
"Meritxell Sabidó SV et al. ","2018","Subcutaneous Interferon-β1a Does Not Increase the Risk of Stroke in Patients with Multiple Sclerosis: Analysis of Pooled Clinical Trials and Post-Marketing Surveillance","Adv Ther","35","11","2041-2053","TRUE","","","",""
"alexander M Schenzel CK et al. ","2016","Reversing Adhesion: A Triggered Release Self‐Reporting Adhesive","Advanced Science","3","3","","TRUE","","","",""
"Jia Liu BC et al. ","2019","Cancer Chemotherapy: Redox‐Responsive Dual Drug Delivery Nanosystem Suppresses Cancer Repopulation by Abrogating Doxorubicin‐Promoted Cancer Stemness, Metastasis, and Drug Resistance (Adv. Sci. 7/2019)","Advanced Science","6","7","","TRUE","","","",""
"Zhenzhen Wang XR et al. ","2019","Islet Transplantation: Growing Trans‐Species Islets in Tumor Extract‐Remodeled Testicles (Adv. Sci. 6/2019)","Advanced Science","6","6","","TRUE","","","",""
"Xiao Zhang ZD et al. ","2021","A High‐Resolution Ternary Model Demonstrates How PEGylated 2D Nanomaterial Stimulates Integrin αvβ8 on Cell Membrane","Advanced Science","8","11","","TRUE","","","",""
"	Te Faye Yap ZL et al. ","2022","Necrobotics: Biotic Materials as Ready‐to‐Use Actuators","Advanced Science","9","29","","TRUE","","","",""
"Shuang Xia JS et al. ","2023","A Separator with Double Coatings of Li4Ti5O12 and Conductive Carbon for Li‐S Battery of Good Electrochemical Performance","Advanced Science","10","22","","TRUE","","","",""
"Kurić L","2010","Molecular biocoding of insulin","Advances and Applications in Bioinformatics and Chemistry : AABC","3","","45-58","TRUE","","","",""
"Samuel Jaques MN et al. ","2020","Implementing Grover Oracles for Quantum Key Search on AES and LowMC","Advances in Cryptology – EUROCRYPT 2020","12106","","280-310","TRUE","","","",""
"Bonnetain X, Schrottenloher A","2020","Quantum Security Analysis of CSIDH","Advances in Cryptology – EUROCRYPT 2020","12106","","493-522","TRUE","","","",""
"Wouter Castryck LP, Vercauteren F","2020","Rational Isogenies from Irrational Endomorphisms","Advances in Cryptology – EUROCRYPT 2020","12106","","523-548","TRUE","","","",""
"Wioletta A Żukiewicz-Sobczak GC et al. ","2013","Rye grains and the soil derived from under the organic and conventional rye crops as a potential source of biological agents causing respiratory diseases in farmers","Advances in Dermatology and Allergology/Postȩpy Dermatologii i Alergologii","30","6","373-380","TRUE","","","",""
"Norbert Czapla KG et al. ","2019","Skin incision versus laser – the influence of different techniques on scar formation and lymphatic drainage in rats. A preliminary report","Advances in Dermatology and Allergology/Postȩpy Dermatologii i Alergologii","37","2","269-271","TRUE","","","",""
